week,Influenza_suina,Virus_respiratorio_sinciziale_umano,Influenzavirus_A_sottotipo_H1N1,Bronchite,Epidemiologia,Sequenziamento_del_DNA,Influenza,Febbre,Acido_sialico,Vaccino_influenza_stagionale
2018-42,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.17709156864372355,-0.14844553515763048,-0.2651736268627334,0.02411054259876249,-0.11529739939063186,-0.23568844948155293,-0.023728650036927867
2018-43,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.19614216202286158,-0.17343133867835736,-0.3104612645616318,-0.0019583928288116814,-0.1678428911101166,-0.2126999437344265,-0.023728650036927867
2018-44,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.17912154990543497,-0.1274347458333829,-0.31352124008182763,0.0160389893701412,-0.14402363124505835,-0.22189534603327707,-0.023728650036927867
2018-45,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.188646846595004,-0.06610595537341697,-0.2847574701919868,0.026837418689512924,-0.1368676304272297,-0.16212523109074833,-0.023728650036927867
2018-46,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.19036452304722135,-0.03884871516898768,-0.30005734779296594,0.04832520228462636,-0.12132888579423029,-0.2448838517804035,-0.023728650036927867
2018-47,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.1802146167386642,-0.10869539319283776,-0.2841454750879476,0.04210792479771537,-0.10078094058875084,-0.2241941966079897,-0.023728650036927867
2018-48,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.17271930131080662,-0.09790606894525117,-0.30801328414547513,0.05443340472790734,-0.09464722560204056,-0.19430913913672535,-0.023728650036927867
2018-49,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.17396852054878287,-0.1319776192007878,-0.28108549956775175,0.05050670315722671,-0.10159876925364554,-0.21040109315971384,-0.023728650036927867
2018-50,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.16132017576427318,-0.15753128189244026,-0.2914894163364176,0.05923270664762811,-0.0797218524677122,-0.20580339201028855,-0.023728650036927867
2018-51,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.16694166233516639,-0.2358958474801745,-0.3012813380010443,0.04036272409963509,-0.06612545091383773,-0.21499879430913912,-0.023728650036927867
2018-52,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.17709156864372355,-0.4272643880821052,-0.3575848875726477,0.05017947802633666,-0.0789040238028175,-0.2977574149987943,-0.023728650036927867
2019-01,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.18286920761936376,-0.46701453004689797,-0.3655408239251569,-0.07482052197366335,-0.1665139195296627,-0.3874125874125874,-0.023728650036927867
2019-02,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.06403722760687157,-0.1427669434483744,-0.25415771499002837,-0.07482052197366335,0.0714742219546963,-0.1920102885620127,-0.023728650036927867
2019-03,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.08605471667620324,0.0468980196407795,-0.19601818010630745,-0.07482052197366335,0.09089765274594554,-0.10695281729764487,-0.023728650036927867
2019-04,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.08995852679487906,0.06109449891391976,-0.20458611156285578,-0.07482052197366335,0.11573919844212219,-0.07476890925166786,-0.023728650036927867
2019-05,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.08183860174803334,0.0633659355976222,-0.19051022416995492,-0.07482052197366335,0.10950325487230007,-0.14143557591833453,-0.023728650036927867
2019-06,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.10588607207907644,0.13037331776684424,-0.17704633188109323,-0.07482052197366335,0.1251442280884113,0.1183345390241942,-0.023728650036927867
2019-07,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.14258188719462922,0.05711948471744049,-0.18071830250532825,-0.07482052197366335,0.048166105005197225,0.03557591833453903,-0.023728650036927867
2019-08,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.13555502898101274,-0.024652235895847415,-0.1697023906326232,-0.07482052197366335,0.043872504514500026,-0.12304477132063338,-0.023728650036927867
2019-09,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.1458610876943169,-0.049070180245648666,-0.2027501262507383,-0.07482052197366335,0.056242163071032435,-0.21040109315971384,-0.023728650036927867
2019-10,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.09417464172304896,-0.08484530801396212,-0.2743535534233209,-0.07482052197366335,0.044076961680723704,-0.1759183345390242,-0.023728650036927867
2019-11,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.10385609081736501,-0.08825246303951578,-0.25660569540618505,-0.07482052197366335,0.003798899934659503,-0.19660798971143797,-0.023728650036927867
2019-12,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.16678550993041935,0.0037407226504331064,-0.27557754363139925,-0.07482052197366335,0.012897243831613092,-0.18971143798730006,-0.023728650036927867
2019-13,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.1627255474069965,-0.05531663112583038,-0.24130581780520585,-0.07482052197366335,0.01923541598454705,-0.2126999437344265,-0.023728650036927867
2019-14,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.15491792716964484,-0.022380799212144975,-0.22049798426787415,-0.07482052197366335,-0.0030504151338336476,-0.22649304718270236,-0.023728650036927867
2019-15,-0.01877444994304618,-0.26947358197358195,-0.04770929546777123,-0.18271305521461673,-0.2517959042660916,-0.3098492694575926,-0.018428724416944316,-0.09280711110602748,-0.24028615063097822,-0.023728650036927867
