week,Fibrose,Platypneu,Tachypnoe,Cocoliztli,Tabaksringvlekvirus,Anorexie,Flavivirus,Ross_River-koorts,Griep,Triple_gene_block
2015-42,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.01893800775817903,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-43,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.038918978262460664,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-44,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.0008599868257337397,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-45,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.0341616043328698,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-46,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.023695381687769895,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-47,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.009423259898997298,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-48,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.027501280831442588,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-49,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.022743906901851723,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-50,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,0.021023933250384243,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-51,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.021792432115933548,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2015-52,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.03701602869062432,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-01,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.16785566583953682,-0.07697796969918759,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-02,0.2094017094017094,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.16785566583953682,-0.07697796969918759,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-03,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.16785566583953682,-0.07697796969918759,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-04,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.07697796969918759,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-05,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.017986532972260858,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-06,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.02559833125960624,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-07,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.012277684256751818,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-08,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.006568835541242778,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-09,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.009423259898997298,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-10,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.028452755617360763,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-11,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.04272487740613336,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-12,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.027501280831442588,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-13,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.03035570518919711,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-14,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.17592018196856907,-0.017986532972260858,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
2016-15,-0.12393162393162394,-0.16443053070960048,-0.14686262247237858,-0.13746438746438747,-0.1064102564102564,-0.16785566583953682,-0.011326209470833645,-0.018556005398110663,-0.1108891108891109,-0.1064102564102564
