Week,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2013-01,,4330.0,7348.0,38197.0,6882.0,297.0,42355.0,4906.0,130.0,65441.0,3010.0,16816.0,15738.0,757.0,304.0,6379.0,2655.0,121.0,2844.0,229.0,2821.0,10682.0,505.0,6910.0,817.0,76096198.0,18158.0,12143.0,14880.0,1693.0,9756.0
2013-02,,5725.0,9225.0,38751.0,15310.0,407.0,44641.0,16060.0,189.0,125372.0,5278.0,20865.0,16798.0,1389.0,992.0,26965.0,4219.0,172.0,6462.0,279.0,4761.0,30000.0,896.0,11122.0,1335.0,64597334.0,36254.0,21328.0,19575.0,3807.0,14466.0
2013-03,,5449.0,9727.0,34621.0,14108.0,334.0,46066.0,10934.0,130.0,103034.0,4497.0,17005.0,14144.0,1347.0,686.0,15775.0,3469.0,159.0,5294.0,881.0,3584.0,23422.0,751.0,8873.0,1048.0,64888381.0,29514.0,21877.0,16427.0,2582.0,16264.0
2013-04,,5256.0,8287.0,35220.0,11720.0,491.0,46202.0,6422.0,105.0,83667.0,3793.0,15100.0,13326.0,1065.0,444.0,6828.0,5267.0,157.0,3839.0,309.0,3048.0,11912.0,547.0,8962.0,872.0,68499646.0,22148.0,20671.0,15408.0,2047.0,14753.0
2013-05,,4892.0,8324.0,32753.0,11380.0,267.0,44302.0,4591.0,89.0,74700.0,3595.0,14704.0,11642.0,818.0,249.0,3911.0,3917.0,117.0,3405.0,207.0,2752.0,8851.0,470.0,8725.0,761.0,66490856.0,17673.0,21241.0,14374.0,1608.0,17055.0
2013-06,,4827.0,9463.0,30711.0,10655.0,298.0,42044.0,3608.0,79.0,59515.0,3079.0,10417.0,11848.0,770.0,196.0,3059.0,3687.0,119.0,3161.0,280.0,2512.0,7275.0,416.0,6395.0,737.0,66266671.0,13963.0,19452.0,39397.0,1274.0,15014.0
2013-07,,6242.0,9451.0,30823.0,10250.0,299.0,44090.0,2785.0,84.0,54611.0,2811.0,8719.0,12795.0,657.0,207.0,1922.0,4739.0,98.0,3071.0,215.0,2099.0,6218.0,405.0,8057.0,743.0,65913176.0,11744.0,19598.0,40150.0,1135.0,14241.0
2013-08,,5885.0,9192.0,30829.0,10151.0,263.0,41592.0,3057.0,103.0,54231.0,2705.0,7838.0,13348.0,648.0,154.0,2487.0,4064.0,123.0,2600.0,221.0,1984.0,7318.0,452.0,7478.0,698.0,66865852.0,11173.0,18054.0,33102.0,956.0,14745.0
2013-09,,5377.0,9312.0,29760.0,10813.0,303.0,41475.0,2767.0,70.0,51636.0,2636.0,7281.0,10929.0,613.0,152.0,2059.0,3772.0,91.0,2720.0,211.0,1839.0,7490.0,509.0,6098.0,620.0,66785338.0,9420.0,18808.0,24382.0,809.0,15990.0
2013-10,,4962.0,9590.0,28481.0,10764.0,300.0,39911.0,2540.0,94.0,49207.0,2201.0,6919.0,10190.0,559.0,82.0,1935.0,3483.0,129.0,2576.0,199.0,1780.0,6504.0,410.0,6041.0,632.0,67031399.0,8764.0,21086.0,19451.0,772.0,15996.0
2013-11,,4303.0,9317.0,26851.0,10906.0,298.0,40908.0,2237.0,94.0,45029.0,2182.0,6284.0,10310.0,486.0,98.0,1765.0,3151.0,112.0,2415.0,204.0,1689.0,7509.0,420.0,5932.0,528.0,67206436.0,8304.0,20846.0,18610.0,694.0,16080.0
2013-12,,4250.0,8882.0,27532.0,9792.0,255.0,37774.0,2273.0,57.0,42194.0,1879.0,6119.0,9115.0,581.0,77.0,1591.0,2949.0,93.0,2855.0,233.0,1564.0,8079.0,450.0,6147.0,585.0,67788576.0,7805.0,19623.0,16322.0,733.0,15061.0
2013-13,,4603.0,9288.0,27199.0,8050.0,245.0,34227.0,1415.0,67.0,35428.0,1806.0,5687.0,7100.0,460.0,96.0,1455.0,1951.0,106.0,2322.0,152.0,1312.0,13667.0,568.0,6499.0,515.0,63009311.0,6022.0,16006.0,9947.0,514.0,13363.0
2013-14,,14003.0,9735.0,24705.0,9670.0,338.0,35187.0,1725.0,117.0,39511.0,1807.0,8062.0,13600.0,1038.0,298.0,2038.0,2431.0,306.0,3292.0,285.0,1736.0,8162.0,497.0,5337.0,869.0,66727006.0,7738.0,17458.0,11045.0,740.0,13316.0
2013-15,,12730.0,8614.0,22260.0,10535.0,295.0,28249.0,1486.0,82.0,35948.0,1865.0,6675.0,10709.0,755.0,138.0,1914.0,1702.0,237.0,3328.0,486.0,1302.0,6981.0,418.0,3813.0,659.0,64708034.0,6905.0,17389.0,9827.0,814.0,14413.0
2013-16,,10252.0,8567.0,21656.0,10796.0,275.0,28509.0,1485.0,81.0,34726.0,1810.0,6326.0,9834.0,762.0,152.0,1899.0,1331.0,185.0,3289.0,295.0,1193.0,6975.0,454.0,2965.0,583.0,69839991.0,6041.0,17552.0,9023.0,632.0,14859.0
2013-17,,10154.0,8687.0,22610.0,10565.0,328.0,28350.0,1356.0,91.0,33597.0,1762.0,6421.0,9748.0,725.0,157.0,1969.0,2016.0,153.0,3009.0,238.0,1241.0,6350.0,506.0,2273.0,555.0,64265574.0,5595.0,17626.0,8014.0,517.0,15369.0
2013-18,,8614.0,8142.0,21853.0,10708.0,249.0,26824.0,1329.0,100.0,30846.0,1918.0,5738.0,8773.0,638.0,96.0,1219.0,5172.0,145.0,2932.0,181.0,1185.0,6391.0,431.0,2044.0,576.0,63820285.0,4529.0,17948.0,8692.0,453.0,14227.0
2013-19,,7315.0,7405.0,21026.0,10233.0,284.0,26644.0,1154.0,59.0,29780.0,2109.0,4934.0,7749.0,597.0,96.0,1024.0,3674.0,94.0,2686.0,157.0,1104.0,5546.0,409.0,1608.0,436.0,63691870.0,3863.0,18257.0,7292.0,363.0,14400.0
2013-20,,6743.0,7603.0,21810.0,9896.0,429.0,26399.0,1171.0,67.0,30157.0,2124.0,3930.0,7081.0,567.0,76.0,915.0,3469.0,76.0,2315.0,341.0,1046.0,5402.0,425.0,1418.0,402.0,69742251.0,3602.0,17152.0,7409.0,430.0,15155.0
2013-21,,6098.0,7123.0,20149.0,8717.0,404.0,25450.0,1834.0,79.0,26052.0,1987.0,4076.0,9383.0,506.0,88.0,982.0,3357.0,154.0,2106.0,172.0,934.0,5194.0,355.0,1260.0,374.0,100147947.0,3640.0,16223.0,7268.0,360.0,13695.0
2013-22,,5839.0,6776.0,19961.0,8761.0,358.0,25703.0,1009.0,80.0,26136.0,1935.0,4288.0,11567.0,569.0,93.0,1128.0,3795.0,98.0,1955.0,160.0,1046.0,4839.0,351.0,1102.0,350.0,70702750.0,4453.0,16597.0,7629.0,769.0,12844.0
2013-23,,4807.0,6358.0,19369.0,8272.0,385.0,25796.0,1013.0,81.0,24951.0,1779.0,3453.0,9836.0,479.0,115.0,984.0,3658.0,288.0,1918.0,153.0,857.0,4305.0,309.0,983.0,282.0,71411062.0,3606.0,15545.0,7246.0,420.0,12694.0
2013-24,,4569.0,6017.0,17415.0,7991.0,373.0,25574.0,1078.0,54.0,22442.0,1648.0,3248.0,8111.0,440.0,166.0,2137.0,2471.0,402.0,1703.0,140.0,841.0,4405.0,283.0,935.0,270.0,151437169.0,3428.0,14315.0,7221.0,307.0,12357.0
2013-25,,4709.0,6193.0,16722.0,8661.0,471.0,24673.0,1020.0,78.0,20480.0,1641.0,2981.0,7068.0,449.0,105.0,1148.0,2666.0,128.0,1691.0,621.0,832.0,3622.0,329.0,822.0,301.0,69848095.0,3011.0,14533.0,7741.0,311.0,10511.0
2013-26,,4619.0,6175.0,16475.0,10338.0,324.0,24145.0,1096.0,90.0,19214.0,1633.0,2535.0,6148.0,292.0,79.0,1175.0,2592.0,150.0,1628.0,179.0,833.0,3944.0,312.0,693.0,307.0,69317818.0,2762.0,13704.0,7677.0,285.0,10798.0
2013-27,,3644.0,6379.0,15092.0,6915.0,391.0,23796.0,888.0,75.0,17438.0,1274.0,2162.0,5630.0,317.0,80.0,928.0,1995.0,84.0,1511.0,143.0,773.0,2952.0,261.0,707.0,263.0,68492723.0,2956.0,12210.0,7257.0,435.0,9260.0
2013-28,,3773.0,5851.0,15073.0,6698.0,316.0,23533.0,1026.0,49.0,17041.0,1229.0,2323.0,5546.0,273.0,73.0,933.0,1880.0,92.0,1488.0,187.0,695.0,2753.0,296.0,729.0,260.0,70260824.0,2483.0,12122.0,7131.0,302.0,9036.0
2013-29,,3802.0,6418.0,15034.0,6621.0,300.0,23934.0,954.0,82.0,17498.0,1223.0,2439.0,9360.0,302.0,144.0,1659.0,1986.0,88.0,1415.0,138.0,744.0,3044.0,278.0,715.0,256.0,69594296.0,2512.0,12279.0,6526.0,286.0,9315.0
2013-30,,3176.0,4857.0,11595.0,5141.0,236.0,18821.0,787.0,55.0,13875.0,1016.0,1692.0,5430.0,233.0,77.0,808.0,1559.0,66.0,1063.0,121.0,651.0,2468.0,178.0,560.0,178.0,70523264.0,1994.0,9748.0,4808.0,208.0,7655.0
2013-31,,4031.0,5108.0,13200.0,5543.0,276.0,19116.0,949.0,46.0,15526.0,1110.0,1971.0,4900.0,288.0,69.0,968.0,1914.0,72.0,1128.0,87.0,736.0,2594.0,198.0,658.0,202.0,88311538.0,2142.0,9750.0,5923.0,241.0,8551.0
2013-32,,5041.0,4883.0,13470.0,5636.0,379.0,18838.0,1003.0,64.0,15306.0,1122.0,2729.0,4629.0,301.0,83.0,1419.0,2346.0,100.0,1268.0,119.0,641.0,2710.0,199.0,854.0,230.0,66096395.0,2117.0,9989.0,5663.0,223.0,9286.0
2013-33,,4806.0,5087.0,14950.0,6396.0,299.0,21740.0,1152.0,67.0,16678.0,1249.0,3084.0,6022.0,344.0,81.0,1352.0,1896.0,70.0,1182.0,210.0,679.0,2938.0,277.0,986.0,247.0,67367065.0,2323.0,9623.0,5962.0,231.0,9104.0
